f1   ,f2          ,f3 ,f4,f5           ,f6     ,f7        ,f8           ,f9                  ,f10          
SBBYT,RROKYBSS8Z7O,96U,M1,UUS5Y4K50OBBA,UG0PWQZ,67NVSLA4IT,ZJ98CQ18D6WN0,NEKH2SHTCQLDL37G0IME,Z822K17OFQNW4
ADAR4,HIMLCQRFBH4R,HW3,QQ,KVSQ2DL9GHE4F,FY5G3BF,EBPHKSNR1U,0VO0RXGIPW57E,NRNQR6FEKXMH0U830SS7,VYUMPOC97YLYO
I7N4K,L841H0DLUZXW,KHV,12,UR3NOS7HSL03M,UOALB5Y,FG1R84VLJS,B8FI2T6F7C7VK,23VYN2YDRQGF79DT9NWT,L0BS4UWCXMACR
VHC35,9U1B6IJ3XSZU,WB3,PP,9EYN2I9UQ0WBA,BFBOW72,LXWIE3RQH9,JWTBMP6YBPLVY,NMAUTUVYM8G9YKZ48KP7,7SZ0RAU5WZCFU
P3IKF,CHSV0LUYJDU4,Z4Q,8V,6997LS0JLU29V,MU89X1N,YCFQ7OUUGR,23G5JHQ8FN9RT,QYW9P5EBN02XWUVWHJKD,THKEL6SVKDE0L
TYQ7K,TR84SEHWUYC5,DIB,5Y,AKK1EV8XHAO7X,7QN744V,B3H3952PVC,UEYIV9JQDLKKF,LQJXT000O2EFDYE0CII5,IYAYLQ35VHHNE
X0RFB,TVVCS7MW77XU,R4K,VN,OIQM9C96WL11Q,DLCEEX8,616AZ9ELGW,Z8TZSR45E00VC,6S3SJIS0NN8O75ABPZH4,0GLYPFEYY6NMT
XYCAH,O8BL8321HGK7,1G7,BC,15BQSNE72L35J,00HBS89,T9ZA1GN8EU,147N4ZTMUVPHD,D8HWRIK8LKBLLODGVZK4,MBBXOYGGZVU01
CBLS9,EIBUACCJPUUF,SZT,9B,WV1C9V2WWX7XO,T6IG4Q2,T9KVCL8B7H,G0MGVGI6KU189,8YZH73NWCK23YK5WK7BA,DGFFWZIUZ8V1K
0ZD06,V3EGFOKMVVOR,32Z,60,FR2NLQ0Q9NZHO,3ZYWWAY,582H96KM26,58AP7JAXQSE1P,MFIM64N0PL3SRTCZIEFF,VDP7D7I5W5CJR
I1QKS,35FSP8S6MTBD,74Z,HF,VN4347AMPPHUQ,YTDYPY8,4XWOT2WEQ3,Q8JTBJHU65WHY,5Y9F8LAM7KFTDTT8VC02,VQG2D5TWOSDOI
1XFG2,7J85IDQ4RD8S,XVZ,00,ZKNNBF5CZ9ZFZ,N5C82B2,QDREIIXV8K,WM059DS3JGD1D,PUSMN27B3YINIROULGM7,6IDT8N7RIG4YR
D0HSN,FAY4JJZTHEAN,PWX,5Z,UFUJGA2FLD3BX,TPS3OPD,6LGIRFPVA1,5MOVJVX6H227I,7HXWGQDB0IESMJY3TQYW,EM80BYY2LKILH
7BUUU,5F6QX4SP6IZR,SN1,6W,4JL80707YY9AY,THHPJYP,FMWCFWC1XR,H9CV6C2MTK66Z,MC68BGHGKQ45SRXOM2RD,Q5T05GSOF6R0F
VYWX8,CFOE31LP5M2J,UPZ,37,YLIAFN5V515KM,1WVTM9Q,M3T7YHOJF6,EISA4GBJ0WDZA,RUGCA17IVV7W4GL8GKUE,WNW34AAXPR8LQ
H2D3Y,ATDVBJZFMSYN,ZGB,H2,5RVJIV4VFLDTN,HQTOX3Y,R333OML4FP,85V3G1IMFYBEW,WZZD8GSCGLN53KL4M7BB,AGG5JDJS4Z1ZB
JZRSC,9O40DWA4M6ZM,BD4,Q3,XWHPC7O5T3TGE,QTFSCIR,AGIXKTO0NC,ERBDLJ4QRR4FT,WFP6VQ1GJBG39QE8G11S,OFB997RN2WE2O
BQ6A7,NF02864FMJ44,JG8,6Z,DWGQ8HD1X20LA,PEQVA1C,64VU0L8FNJ,SRLXAIR5SGXQK,PNM4Z2N62EO7QPT0SMAA,0HGFN8S5X2RJ3
QEHB8,9SO6K25YF8LQ,7JY,40,AF70MZBKY1P28,CGUZPXV,JALHFXW1VL,9BEE4E5CWJ8QQ,4PQT4ZY8A7XDMIUVBGFA,XW079UI22SC77
OVIKB,495PSPO0MKDF,RH4,WV,EY4ZEP6VYGPDK,J75VQE7,Q2PVI9GACW,HJH7MVZGW3C6B,WTNR6JFFLTWP8TJBOKZF,R9ULVH9M31PRA
ZUEAQ,2I746YA1FSFK,W97,YD,3PM3BJ72O3D82,6OW8PZZ,O59J618I6Q,JN8IX424MZOT2,9JIULLRTQX1K0GP3Z3KU,SDC08LYO5JY9V
6FZUZ,HW7Z16OY8H1G,LAR,GQ,ZLASTVJTIHQZQ,IYB4QUI,E4QNLQ3ZV6,EISZYTN62XJLJ,JLC8PMO1IYD0I7886SVH,Q65FZCW2I97ND
WQN8A,L9T4V2BE23V6,BIB,CS,1OA7KWZV4YAAB,FWEBY83,DGAOODL2SU,6K17QDKC5YUWT,8YTW54JN3Y61C08CIR3J,KVCJ9ZCXPUNCI
3PDIO,Y5UZRSFEV5GR,ZO9,3J,M7IJTUBMVU1HX,2HAREJV,FHGV01SSHJ,TC06GTI3PYJP6,AMS4DMJN12HK80Y7AK7M,PNH8PHD2GTVR1
UHPE7,H8AVX2FU6AUX,W0W,JQ,YVACNH4MDVI77,4ZVYBY5,PVH2SKJ7AQ,T7OA1780KQ6ER,RQRCKQ1AOXLVT19FPPIQ,4WWZ45EU8TMSA
